1350,大安路與中山路二段口,34
1351,樹林區公所,40
1352,蘆洲重陽大樓,30
1353,埔墘國小,34
1354,圓通錦和路口,46
1355,下庄市場,30
1356,亞洲員安路口,34
1357,大安路307巷口,32
1358,漁人碼頭,50
1359,味王街,30
1360,福基公園,32
1361,振義里公園,30
1362,安溪國小,36
1363,中和安和路口,34
1364,元氣大鎮社區,30
1365,員勝公園,40
1366,永和自由街,32
1367,安樂宜安路口,36
1368,昌隆國小,36
1369,捷運新莊副都心站,46
1370,捷運泰山站,34
1371,八里中庄市場綜合大樓,36
1372,江翠國中,30
1373,捷運新北產業園區站,44
1374,捷運泰山貴和站,36
1375,龍形停車場,40
1376,捷運紅樹林站,58
1377,大庄一號公園,28
1378,三井Outlet,50
1379,貿商國宅,40
1380,中正北路193巷(愛買三重店),42
1381,翔譽雙子星,36
1382,明志科技大學,50
1383,三民高中(民權路),36
1384,環河福德南路口,32
1385,文林國小(潭興街),34
1386,林口老街,42
1387,板橋果菜批發市場,40
1388,安和公園,34
1389,東陽市民活動中心,32
1390,遠雄左岸,40
1391,瓦磘溝(福真里),32
1392,中正路161巷口,36
1394,瑞峰橋,28
1395,民族二街明峰街口,30
1401,光復國小,38
1402,世貿國家公園社區,30
1403,新店新和國小,42
1404,立德青雲路口,36
1405,新北市林口行政園區,42
1406,工建樟樹一路口,36
1407,中和青年社會住宅,32
1408,蘆洲李宅古蹟,30
1409,捷運府中站(2號出口),38
1410,新莊勞工中心,32
1411,名利橋,32
1412,捷運大坪林站(1號出口),28
1413,福和國中停車場,48
1414,元隆公園,74
1415,福美公園,40
1416,輔仁大學附設醫院,40
1417,民視數位媒體總部,40
1418,五股成州郵局,32
1419,新市一路一段99巷口,46
1420,國泰街111巷口,34
1421,湳雅觀光夜市(津渡橋),40
1422,學成公園,34
1423,鳳祥公園,30
1424,光明市場,34
1425,中興路二段100巷口,30
1426,福和橋,36
1427,土城國中,32
1428,安光公園,34
1429,崇德國小,40
1431,公五公園,44
1432,碧潭西岸,40
1433,樹林大安站,56
1434,廣停二停車場,36
1435,民義公園,40
1436,大崙公園,32
1437,成州國小,28
1438,中興北街42巷17弄,34
1439,江翠國小,34
1440,華江一華江九路口,40
1441,三光國小(金滿意),36
1442,蘆洲中路公園,34
1444,雙和橋,34
1445,海山高中,52
1446,環河西路一段95巷口,32
1447,碧河宮,40
1448,萬板文聖街口,46
1449,明德高中,34
1450,鳳鳴國小,32
1451,林本源園邸,42
1452,藍天大樓,36
1453,忠孝國中,46
1454,大智公園,30
1455,國際二國際一路口,38
1456,三重高中,34
1457,昌平公園,40
1458,新北市客家文化園區,38
1459,台北海洋科技大學,38
1461,福和路7巷口,30
1462,捷運新店區公所站(1 號出口),42
1463,新泰游泳池,26
1464,森林公園,36
1465,馥華公園,34
1466,光復高中,42
1467,南雅育智路口,46
1468,穀保家商,38
1469,文德國小(公館街),38
1470,學成大成路口,42
1471,石雕公園,32
1472,民生縣民大道口,40
1473,新北市藝文中心(文化路二段124巷),36
1474,四維公園地下停車場,60
1475,廣福派出所,34
1476,新和活動中心,38
1479,中悅兒童公園,36
1480,新北市工商展覽中心,46
1481,金城裕民路口(中正國中),44
1482,圓通路335巷33弄,32
1483,海洋公園,36
1484,浮洲合宜住宅(合宜一路),32
1485,文山國中,30
1486,臺北大學(資訊中心),56
1488,新莊田徑場,42
1489,新泰國中,30
1490,碧潭渡船頭,32
1491,山佳火車站,32
1492,新北市勞工活動中心,34
1493,板橋重慶公園,40
1495,山北公園,32
1496,景平大勇街口,38
1498,頭前國小,30
